countycode,white_percentage,black_percentage,ame_ala_percentage,asian_percentage,native_pacific_percentage,other_percentage,two_more_percentage,median_year_structure_built,median_value
8067,86.160004,.55000001,6.3800001,.76999998,.029999999,2.6199999,3.49,1989,415900
8069,89.239998,1,.73000002,2.1500001,.090000004,1.78,5.0300002,1990,390600
8071,82.690002,1.12,4.0599999,.63,0,3.25,8.25,1971,158600
8073,90.389999,7.3600001,.41,.37,.18000001,.5,.77999997,1966,157500
8075,88.239998,1.47,.91000003,.81999999,1.52,2.4000001,4.6399999,1962,161800
8077,91.959999,.75,.94999999,1.08,.1,1.4299999,3.73,1985,245000
8079,82.529999,1.29,1.52,5.5100002,0,1.29,7.8499999,1988,329300
8081,91.32,.81999999,.72000003,.14,0,.88999999,6.1100001,1977,190600
8083,80.779999,1.05,11.93,.85000002,.079999998,2.6199999,2.7,1982,238200
8085,90.839996,.2,1.27,.94999999,.13,1.67,4.9400001,1990,242300
8087,83.489998,3.0899999,.41,.47999999,.23999999,4.4000001,7.9000001,1973,217200
8089,85.910004,.79000002,1.14,1.1799999,.029999999,5.29,5.6500001,1961,101000
8091,94.889999,1.55,.41,0,.059999999,.22,2.8599999,1993,486200
8093,93.150002,.33000001,.85000002,.64999998,0,1.0599999,3.96,1991,367400
8095,93.32,0,1.9299999,.41,0,1.54,2.79,1966,191200
8097,90.360001,.47999999,.079999998,2.29,0,3.6199999,3.1600001,1985,599000
8099,90.620003,.79000002,1.96,.56999999,0,2.3800001,3.6900001,1970,108800
8101,79.959999,2.03,3.1500001,.91000003,.14,8.0900002,5.7199998,1973,172500
8103,91.57,.34999999,1.3,.57999998,0,.5,5.6999998,1978,218500
8105,88.650002,.07,2.9100001,.07,.039999999,3.9000001,4.3499999,1978,186700
8107,93.410004,1.02,.30000001,1.4,.02,1.05,2.8,1989,534100
8109,88.599998,1.1,1.37,.1,0,3.73,5.0999999,1981,152400
8111,94.269997,0,0,0,0,0,5.73,1977,348700
8113,94.339996,.0099999998,.94999999,1.39,0,.85000002,2.45,1993,448900
8115,89.419998,.43000001,.38999999,.51999998,0,4.0799999,5.1599998,1952,111300
8117,89.209999,.28999999,.33000001,.89999998,.38999999,5.2399998,3.6500001,1987,596300
8119,92.279999,.64999998,.86000001,.2,.039999999,.37,5.5999999,1988,304800
8121,94.839996,1.48,0,.38999999,.02,.72000003,2.55,1959,162200
8123,87.25,1.23,.56,1.6799999,.11,3.8,5.3699999,1994,326100
8125,91.029999,1.4,.69,.050000001,0,2.6800001,4.1500001,1959,190400
9001,70.809998,11.37,.22,5.3800001,.07,7.02,5.1399999,1965,433000
9003,68.75,13.81,.28,5.54,.039999999,6.1799998,5.4000001,1964,242900
9005,91.669998,1.72,.17,1.9400001,0,1.46,3.04,1967,258300
9007,86.849998,5.5100002,.27000001,3.1900001,.0099999998,.98000002,3.2,1971,293300
9009,71.620003,13.6,.18000001,4.0500002,.02,5.9499998,4.5799999,1963,252300
9011,79.870003,5.8499999,.61000001,4.0700002,.02,3.51,6.0700002,1968,246800
9013,87.150002,3.04,.07,4.7399998,0,2.03,2.97,1974,259700
9015,88.330002,2.54,.41999999,1.37,.0099999998,2.77,4.5599999,1968,210300
10001,65.150002,25.57,.64999998,2.0999999,.02,1.21,5.3000002,1991,226600
10003,62.57,25.23,.27000001,5.7199998,.039999999,2.5999999,3.5799999,1973,266500
10005,81.029999,11.35,.40000001,1.24,.19,2.29,3.51,1996,269700
11001,41.07,45.389999,.34999999,4.0999999,.050000001,4.8099999,4.2399998,1954,618100
12001,67.209999,20.139999,.33000001,6.0599999,.050000001,1.38,4.8200002,1986,201600
12003,80.099998,14.55,.28,.17,.029999999,.41999999,4.4299998,1992,158000
12005,80.43,10.72,.30000001,2.26,.14,1.54,4.6100001,1989,195000
12007,76.940002,20.379999,.34999999,.66000003,0,.43000001,1.23,1985,118900
12009,80.919998,9.8699999,.27000001,2.3800001,.090000004,1.83,4.6300001,1986,220000
12011,56.830002,28.610001,.25999999,3.6300001,.059999999,3.49,7.0999999,1980,282400
12013,79.57,13.45,1.45,.15000001,0,1.89,3.48,1986,91100
12015,88.949997,5.54,.25,1.29,.079999998,1.0599999,2.8299999,1988,209500
12017,91.739998,2.73,.28,1.77,.02,.82999998,2.6400001,1988,144100
12019,77.190002,11.05,.11,2.76,.039999999,2.5899999,6.27,1993,195900
12021,84.489998,6.75,.2,1.5,.0099999998,1.87,5.1799998,1994,366600
12023,75.57,18.24,.20999999,.95999998,.02,1.25,3.74,1992,128800
12027,81.900002,12.14,.090000004,.44,.079999998,2.3299999,3.03,1987,103600
12029,85.910004,8.29,.0099999998,.22,.039999999,1.62,3.9200001,1988,85000
12031,57.919998,29.540001,.23,4.6799998,.07,2.49,5.0900002,1984,195600
12033,67.290001,21.959999,.34999999,3.1300001,.15000001,1.1799999,5.9400001,1982,157200
12035,80.239998,9.7600002,.23,2.55,.12,3.71,3.3800001,1999,232700
