countycode,total_insurance,total_insurance_building,total_insurance_contents
19149,85000,75000,10000
19153,263831.19,197541.7647058823,66289.41176470589
19155,216820.83,186040.2777777778,30780.55555555555
19163,199066.3,172006.6298342542,27059.66850828729
19165,175000,125000,50000
19167,261166.67,197833.3333333333,63333.33333333334
19169,223525,166400,57125
19171,27000,22071.42857142857,4928.571428571428
19177,48400,48400,0
19179,91160,76420,14740
19181,114000,114000,0
19187,165750,143250,22500
19191,137484,92440,45044
19193,136156.52,116417.3913043478,19739.13043478261
19195,11800,0,11800
20001,419000,333333.3333333333,85666.66666666667
20009,64718.184,60172.72727272727,4545.454545454545
20011,100100,100100,0
20015,151159.19,126428.5714285714,24730.61224489796
20017,12300,12300,0
20021,78050,72425,5625
20027,186666.67,133333.3333333333,53333.33333333334
20029,35000,35000,0
20031,132500,132500,0
20035,281527.78,175416.6666666667,106111.1111111111
20037,36500,36000,500
20041,300000,233333.3333333333,66666.66666666667
20043,148535,106885,41650
20045,207177.78,157280,49897.77777777778
20047,97500,97500,0
20051,158327.27,122872.7272727273,35454.54545454546
20055,245000,175000,70000
20057,140000,100000,40000
20059,371818.75,244693.75,127125
20061,157500,112500,45000
20079,186033.33,142026.6666666667,44006.66666666666
20087,157750,151200,6550
20091,299645.38,223789.0756302521,75856.3025210084
20095,530783.31,276516.6666666667,254266.6666666667
20099,188966.67,160944.4444444444,28022.22222222222
20103,251336.36,191572.7272727273,59763.63636363636
20111,192480,185080,7400
20113,247300,188966.6666666667,58333.33333333334
20115,39650,39650,0
20121,214991.67,172750,42241.66666666666
20123,72200,66600,5600
20125,138220,116205,22015
20131,70000,50000,20000
20133,130850,87972.22222222222,42877.77777777778
20139,250000,250000,0
20143,75000,75000,0
20149,311125,243750,67375
20155,130275,112325,17950
20157,245000,175000,70000
20159,90663.633,79400,11263.63636363636
20161,247882.5,191267.5,56615
20165,73433.336,73066.66666666667,366.6666666666667
20169,197038.47,175500,21538.46153846154
20173,190397.48,150377.3109243698,40020.16806722689
20175,204250,154250,50000
20177,196357.89,146936.8421052631,49421.05263157895
20191,111682.26,97546.77419354839,14135.48387096774
20197,65850,65850,0
20205,259876.92,181707.6923076923,78169.23076923077
20209,450494.44,264666.6666666667,185827.7777777778
21001,115300,115300,0
21003,157000,117000,40000
21005,28000,20000,8000
21007,167700,148000,19700
21009,210000,150000,60000
21011,64872.727,55518.18181818182,9354.545454545454
21013,74651.219,61417.07317073171,13234.14634146341
21015,186810,147450,39360
21017,112032,99596,12436
21019,159805.88,107770.5882352941,52035.29411764706
21021,191000,134000,57000
21023,126575,114075,12500
21025,210000,150000,60000
21027,64866.668,49666.66666666666,15200
21029,152210,110580,41630
21033,76400,57425,18975
21035,183666.67,121666.6666666667,62000
21037,143051.92,115613.4615384615,27438.46153846154
21041,106422.22,91155.55555555556,15266.66666666667
21043,158871.42,120078.5714285714,38792.85714285714
21045,138000,118000,20000
21047,127431.58,97968.42105263157,29463.15789473684
21049,223163.64,168054.5454545454,55109.09090909091
21051,68875,56375,12500
21055,49500,39900,9600
21059,126559.58,116200,10359.57446808511
21065,87500,87500,0
21067,364808.34,282500,82308.33333333333
21069,126000,88714.28571428571,37285.71428571428
21071,145610.45,111264.1791044776,34346.26865671642
21073,252222.22,210000,42222.22222222222
21075,17600,17600,0
21077,148891.67,126225,22666.66666666667
21083,58700,58700,0
21085,105000,75000,30000
21089,98086.516,74740.44943820225,23346.06741573034
21091,123900,95566.66666666667,28333.33333333333
21093,114406.85,96715.06849315068,17691.78082191781
21095,138553.84,109761.5384615385,28792.30769230769
21097,50566.668,15816.66666666667,34750
21099,40666.668,37333.33333333334,3333.333333333333
21101,111604.55,104015.9090909091,7588.636363636364
21107,169206.67,143200,26006.66666666667
21111,303212.63,267525.8064516129,35686.82795698925
21115,196051.22,143802.4390243902,52248.78048780488
21117,190062.16,166340.5405405405,23721.62162162162
21121,115260,90210,25050
21127,146933.33,124111.1111111111,22822.22222222222
21131,31400,12400,19000
21133,76300,74200,2100
21135,100800,80800,20000
21139,121925,95625,26300
21141,75814.289,55900,19914.28571428571
21145,230541.47,166690.243902439,63851.21951219512
21149,176666.67,133333.3333333333,43333.33333333334
21151,160900,109250,51650
21153,119700,75992.30769230769,43707.6923076923
21157,139616.67,106172.2222222222,33444.44444444445
21159,162141.67,132700,29441.66666666667
21161,105000,75000,30000
21163,145000,125000,20000
21165,424080,344080,80000
21167,48300,40700,7600
21171,210000,150000,60000
21173,89860,72526.66666666667,17333.33333333333
21175,51250,31250,20000
21177,250000,150000,100000
21179,247680,186280,61400
21181,49900,49900,0
21183,32600,32600,0
21185,194352.38,166778.835978836,27573.54497354497
21189,32000,32000,0
21191,90750,70500,20250
21193,69461.539,64153.84615384616,5307.692307692308
21195,173670,124170,49500
